Index-1,Index-2,$,Brent
0.063265,0.064257,0.321886,0.840558
0.062059,0.063265,0.327348,0.846368
0.062486,0.062059,0.316581,0.847995
0.061823,0.062486,0.333564,0.845671
0.062979,0.061823,0.331335,0.843231
0.062763,0.062979,0.329702,0.821848
0.063272,0.062763,0.324272,0.834863
0.064628,0.063272,0.323487,0.834399
0.065936,0.064628,0.326909,0.838582
0.065857,0.065936,0.332245,0.841952
0.065585,0.065857,0.327693,0.878908
0.066662,0.065585,0.330958,0.884718
0.067492,0.066662,0.336357,0.889715
0.065788,0.067492,0.347219,0.887042
0.066128,0.065788,0.345649,0.901917
0.065472,0.066128,0.351237,0.902499
0.064302,0.065472,0.375973,0.902847
0.065062,0.064302,0.376695,0.90645
0.066374,0.065062,0.401651,0.901336
0.066244,0.066374,0.429715,0.89785
0.067165,0.066244,0.422118,0.895177
0.068418,0.067165,0.406925,0.898315
0.07071,0.068418,0.433702,0.899012
0.07147,0.07071,0.424818,0.919465
0.074588,0.07147,0.430563,0.925276
0.076059,0.074588,0.431944,0.907496
0.074901,0.076059,0.442052,0.907728
0.076037,0.074901,0.447796,0.905055
0.075679,0.076037,0.453541,0.918071
0.077223,0.075679,0.459286,0.914352
0.079404,0.077223,0.46503,0.909239
0.081113,0.079404,0.470775,0.938059
0.083996,0.081113,0.476519,0.943173
0.08689,0.083996,0.482264,0.943056
0.090147,0.08689,0.488009,0.963858
0.09385,0.090147,0.493753,0.963161
0.094031,0.09385,0.499498,0.989425
0.090557,0.094031,0.505242,0.983149
0.089259,0.090557,0.510987,1
0.08855,0.089259,0.516732,0.977455
0.084862,0.08855,0.522476,0.976525
0.084269,0.084862,0.528221,0.974898
0.086992,0.084269,0.533965,0.984776
0.087073,0.086992,0.53971,0.961534
0.084195,0.087073,0.545455,0.935967
0.084096,0.084195,0.551199,0.935503
0.086874,0.084096,0.556944,0.938757
0.087948,0.086874,0.562688,0.944916
0.087993,0.087948,0.568433,0.933178
0.09071,0.087993,0.574178,0.928995
0.091124,0.09071,0.579922,0.929692
0.090326,0.091124,0.585667,0.930506
0.089143,0.090326,0.591411,0.887042
0.087094,0.089143,0.597156,0.877048
0.086027,0.087094,0.579169,0.902731
0.086886,0.086027,0.561182,0.902499
0.088133,0.086886,0.543194,0.894131
0.088204,0.088133,0.525207,0.883091
0.088243,0.088204,0.50722,0.844393
0.087988,0.088243,0.489233,0.843347
0.088585,0.087988,0.471246,0.846368
0.089038,0.088585,0.453258,0.836374
0.08862,0.089038,0.435271,0.809297
0.086906,0.08862,0.417284,0.808135
0.087648,0.086906,0.399297,0.803719
0.08813,0.087648,0.38131,0.755375
0.087544,0.08813,0.371673,0.75398
0.086017,0.087544,0.371045,0.773852
0.083486,0.086017,0.379426,0.77792
0.084572,0.083486,0.39936,0.778617
0.084881,0.084572,0.403064,0.77792
0.084522,0.084881,0.401526,0.724463
0.082377,0.084522,0.399454,0.688205
0.080073,0.082377,0.387211,0.686113
0.080427,0.080073,0.386207,0.704009
0.078778,0.080427,0.380305,0.687159
0.076894,0.078778,0.356542,0.684602
0.078474,0.076894,0.380148,0.687856
0.079997,0.078474,0.358802,0.718303
0.079707,0.079997,0.356824,0.717722
0.080264,0.079707,0.356354,0.71749
0.080371,0.080264,0.361533,0.712493
0.080279,0.080371,0.352869,0.707496
0.080291,0.080279,0.338712,0.693434
0.079963,0.080291,0.339622,0.700639
0.079538,0.079963,0.304809,0.698664
0.079122,0.079538,0.31815,0.69878
0.077786,0.079122,0.312343,0.700755
0.076844,0.077786,0.312029,0.683905
0.076553,0.076844,0.312029,0.654503
0.07508,0.076553,0.313599,0.65799
0.074343,0.07508,0.313599,0.621732
0.075374,0.074343,0.313599,0.628704
0.075754,0.075374,0.317052,0.589541
0.075497,0.075754,0.329608,0.639163
0.076215,0.075497,0.351582,0.641836
0.077336,0.076215,0.32333,0.618942
0.077594,0.077336,0.335886,0.61627
0.07764,0.077594,0.339026,0.629402
0.077849,0.07764,0.329608,0.642533
0.077396,0.077849,0.328039,0.638815
0.077497,0.077396,0.332433,0.665078
0.077578,0.077497,0.331178,0.66717
0.078082,0.077578,0.335886,0.668216
0.078872,0.078082,0.342165,0.682045
0.079287,0.078872,0.341537,0.714817
0.079335,0.079287,0.354721,0.704474
0.079126,0.079335,0.35786,0.703661
0.079223,0.079126,0.35786,0.687391
0.079583,0.079223,0.353152,0.704126
0.079655,0.079583,0.35943,0.71319
0.079913,0.079655,0.35943,0.727716
0.079646,0.079913,0.35943,0.727716
0.077889,0.079646,0.36508,0.730273
0.078314,0.077889,0.365708,0.713771
0.078379,0.078314,0.362255,0.710982
0.078156,0.078379,0.365708,0.714817
0.077348,0.078156,0.370103,0.715747
0.076877,0.077348,0.370417,0.696223
0.077038,0.076877,0.371359,0.709239
0.077106,0.077038,0.374969,0.715049
0.076895,0.077106,0.354721,0.729924
0.075692,0.076895,0.345304,0.730273
0.076023,0.075692,0.365708,0.728995
0.076192,0.076023,0.368847,0.721209
0.07626,0.076192,0.371986,0.728298
0.076227,0.07626,0.367592,0.721557
0.075989,0.076227,0.373556,0.725741
0.07567,0.075989,0.374498,0.7405
0.075576,0.07567,0.379834,0.770598
0.075114,0.075576,0.387682,0.770598
0.075379,0.075114,0.404947,0.772458
0.075707,0.075379,0.401808,0.772109
0.076718,0.075707,0.407145,0.779895
0.079017,0.076718,0.392391,0.77792
0.079865,0.079017,0.428491,0.781522
0.080232,0.079865,0.422212,0.753283
0.079231,0.080232,0.417504,0.761185
0.079511,0.079231,0.415934,0.770831
0.079066,0.079511,0.422212,0.754096
0.079101,0.079066,0.407647,0.755375
0.079003,0.079101,0.398889,0.757699
0.078212,0.079003,0.395467,0.76258
0.078324,0.078212,0.412921,0.764207
0.078411,0.078324,0.412826,0.763393
0.079114,0.078411,0.409405,0.76258
0.08051,0.079114,0.405104,0.774898
0.080769,0.08051,0.403284,0.775479
0.081349,0.080769,0.403535,0.786055
0.082315,0.081349,0.407616,0.780244
0.082988,0.082315,0.404414,0.778966
0.084612,0.082988,0.404602,0.783614
0.085939,0.084612,0.404759,0.784428
0.086197,0.085939,0.40658,0.777571
0.086472,0.086197,0.406548,0.78373
0.087326,0.086472,0.406266,0.781174
0.089162,0.087326,0.414365,0.78559
0.089125,0.089162,0.414365,0.802324
0.089728,0.089125,0.414051,0.818245
0.090468,0.089728,0.42036,0.818245
0.090718,0.090468,0.429746,0.825799
0.091599,0.090718,0.444971,0.821267
0.093308,0.091599,0.43163,0.833004
0.093897,0.093308,0.426921,0.831145
0.094321,0.093897,0.422212,0.831145
0.097074,0.094321,0.429746,0.82731
0.097115,0.097074,0.425132,0.832423
0.096162,0.097115,0.420674,0.832307
0.09831,0.096162,0.425226,0.836142
0.098284,0.09831,0.431944,0.861941
0.09758,0.098284,0.432948,0.866473
0.098022,0.09758,0.433168,0.866473
0.098748,0.098022,0.434643,0.832307
0.100652,0.098748,0.444092,0.832423
0.103357,0.100652,0.444218,0.831261
0.10421,0.103357,0.44111,0.836258
0.105878,0.10421,0.447325,0.838931
0.108033,0.105878,0.455048,0.823126
0.107777,0.108033,0.462864,0.823126
0.103815,0.107777,0.461452,0.83312
0.100148,0.103815,0.469237,0.83312
0.101662,0.100148,0.470555,0.808716
0.100609,0.101662,0.469299,0.822777
0.098162,0.100609,0.459882,0.822777
0.099934,0.098162,0.465721,0.813829
0.101855,0.099934,0.46616,0.827193
0.101505,0.101855,0.46594,0.836723
0.102337,0.101505,0.456743,0.838001
0.102387,0.102337,0.455173,0.838001
0.101916,0.102387,0.43163,0.837536
0.103464,0.101916,0.431536,0.83835
0.103501,0.103464,0.437908,0.821848
